2019-04-20 11:17:28.533 febs [main] INFO  com.example.admin.FrameApplication - Starting FrameApplication on LAPTOP-TMOML677 with PID 7132 (C:\Users\zhong\IdeaProjects\frame\admin\target\classes started by zhong in C:\Users\zhong\IdeaProjects\frame)
2019-04-20 11:20:10.255 febs [http-nio-8080-exec-5] INFO  c.e.admin.controller.UserController - 登录密码：123456
2019-04-20 11:20:10.496 febs [http-nio-8080-exec-5] INFO  c.e.admin.controller.UserController - 登录的ip为：127.0.0.1
2019-04-20 11:20:10.499 febs [http-nio-8080-exec-5] INFO  c.e.admin.controller.BaseController - 存入redis键为frame.tokeneyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6MiwiZXhwIjoxNTU1NzMwNzEwLCJ1c2VybmFtZSI6ImFkbWluIn0.R9r--ir-fqxS5Weru-Sj5HvW3gLDIUs3m-fKqWIn_Wg.127.0.0.1
2019-04-20 11:20:10.499 febs [http-nio-8080-exec-5] INFO  c.e.admin.controller.BaseController - 存入redis值为eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6MiwiZXhwIjoxNTU1NzMwNzEwLCJ1c2VybmFtZSI6ImFkbWluIn0.R9r--ir-fqxS5Weru-Sj5HvW3gLDIUs3m-fKqWIn_Wg
2019-04-20 11:20:10.502 febs [http-nio-8080-exec-5] INFO  c.e.admin.controller.BaseController - 存入redis键为frame.user.activeeyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6MiwiZXhwIjoxNTU1NzMwNzEwLCJ1c2VybmFtZSI6ImFkbWluIn0.R9r--ir-fqxS5Weru-Sj5HvW3gLDIUs3m-fKqWIn_Wg.127.0.0.1
2019-04-20 11:20:10.502 febs [http-nio-8080-exec-5] INFO  c.e.admin.controller.BaseController - 存入redis值为{"ip":"127.0.0.1","username":"admin","loginTime":"2019-04-20 11:20:10","token":"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6MiwiZXhwIjoxNTU1NzMwNzEwLCJ1c2VybmFtZSI6ImFkbWluIn0.R9r--ir-fqxS5Weru-Sj5HvW3gLDIUs3m-fKqWIn_Wg","id":2,"password":"8105a54d05ef3cb2a51edbfc4c2e9104","avatar":"static/avatar/2dd7a2d09fa94bf8b5c52e5318868b4d9.jpg"}
2019-04-20 11:20:10.555 febs [http-nio-8080-exec-6] INFO  c.e.admin.config.filter.JWTFilter - ---------------------------options请求放行---------------------------
2019-04-20 11:20:10.564 febs [http-nio-8080-exec-4] INFO  c.e.admin.config.shiro.ShiroRealm - ---------------- 执行 Shiro 凭证认证 ----------------
2019-04-20 11:20:10.565 febs [http-nio-8080-exec-4] INFO  c.e.admin.config.shiro.ShiroRealm - 获取到的ip为：127.0.0.1
2019-04-20 11:20:10.567 febs [http-nio-8080-exec-4] INFO  c.e.admin.config.shiro.ShiroRealm - 从redis中获取值为：eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6MiwiZXhwIjoxNTU1NzMwNzEwLCJ1c2VybmFtZSI6ImFkbWluIn0.R9r--ir-fqxS5Weru-Sj5HvW3gLDIUs3m-fKqWIn_Wg
2019-04-20 11:20:10.569 febs [http-nio-8080-exec-4] INFO  c.e.admin.config.shiro.ShiroRealm - 从redis中获取值为：{"ip":"127.0.0.1","username":"admin","loginTime":"2019-04-20 11:20:10","token":"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6MiwiZXhwIjoxNTU1NzMwNzEwLCJ1c2VybmFtZSI6ImFkbWluIn0.R9r--ir-fqxS5Weru-Sj5HvW3gLDIUs3m-fKqWIn_Wg","id":2,"password":"8105a54d05ef3cb2a51edbfc4c2e9104","avatar":"static/avatar/2dd7a2d09fa94bf8b5c52e5318868b4d9.jpg"}
2019-04-20 11:20:10.603 febs [http-nio-8080-exec-4] INFO  utils.JWTUtil - token is valid
2019-04-20 11:20:10.607 febs [http-nio-8080-exec-4] INFO  c.e.admin.config.shiro.ShiroRealm - ---------------- Shiro 凭证认证成功 ----------------
2019-04-20 11:20:10.613 febs [http-nio-8080-exec-4] INFO  c.e.admin.controller.UserController - 获取的解密后的id为：2
2019-04-20 11:20:10.614 febs [http-nio-8080-exec-4] INFO  c.e.admin.controller.BaseController - 从redis中获取值为：{"ip":"127.0.0.1","username":"admin","loginTime":"2019-04-20 11:20:10","token":"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6MiwiZXhwIjoxNTU1NzMwNzEwLCJ1c2VybmFtZSI6ImFkbWluIn0.R9r--ir-fqxS5Weru-Sj5HvW3gLDIUs3m-fKqWIn_Wg","id":2,"password":"8105a54d05ef3cb2a51edbfc4c2e9104","avatar":"static/avatar/2dd7a2d09fa94bf8b5c52e5318868b4d9.jpg"}
2019-04-20 11:47:29.883 febs [http-nio-8080-exec-7] INFO  c.e.admin.config.filter.JWTFilter - ---------------------------options请求放行---------------------------
2019-04-20 11:47:29.885 febs [http-nio-8080-exec-9] INFO  c.e.admin.config.filter.JWTFilter - ---------------------------options请求放行---------------------------
2019-04-20 11:47:29.911 febs [http-nio-8080-exec-10] INFO  c.e.admin.config.shiro.ShiroRealm - ---------------- 执行 Shiro 凭证认证 ----------------
2019-04-20 11:47:29.912 febs [http-nio-8080-exec-10] INFO  c.e.admin.config.shiro.ShiroRealm - 获取到的ip为：127.0.0.1
2019-04-20 11:47:29.918 febs [http-nio-8080-exec-10] INFO  c.e.admin.config.shiro.ShiroRealm - 从redis中获取值为：null
2019-04-20 11:47:29.918 febs [http-nio-8080-exec-11] INFO  c.e.admin.config.shiro.ShiroRealm - ---------------- 执行 Shiro 凭证认证 ----------------
2019-04-20 11:47:29.918 febs [http-nio-8080-exec-11] INFO  c.e.admin.config.shiro.ShiroRealm - 获取到的ip为：127.0.0.1
2019-04-20 11:47:29.927 febs [http-nio-8080-exec-11] INFO  c.e.admin.config.shiro.ShiroRealm - 从redis中获取值为：null
2019-04-20 11:47:29.927 febs [http-nio-8080-exec-10] INFO  c.e.admin.config.shiro.ShiroRealm - 从redis中获取值为：null
2019-04-20 11:47:29.928 febs [http-nio-8080-exec-11] INFO  c.e.admin.config.shiro.ShiroRealm - 从redis中获取值为：null
2019-04-20 11:47:32.581 febs [http-nio-8080-exec-12] INFO  c.e.admin.config.filter.JWTFilter - ---------------------------options请求放行---------------------------
2019-04-20 11:47:32.591 febs [http-nio-8080-exec-13] INFO  c.e.admin.controller.UserController - 登录用户名为：admin
2019-04-20 11:47:32.591 febs [http-nio-8080-exec-13] INFO  c.e.admin.controller.UserController - 登录密码：123456
2019-04-20 11:47:32.600 febs [http-nio-8080-exec-13] INFO  c.e.admin.controller.UserController - 登录的ip为：127.0.0.1
2019-04-20 11:47:32.601 febs [http-nio-8080-exec-13] INFO  c.e.admin.controller.BaseController - 存入redis键为frame.tokeneyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6MiwiZXhwIjoxNTU1NzMyMzUyLCJ1c2VybmFtZSI6ImFkbWluIn0.RTERzjeljrWHZZcnKz0l5qSBSKBMOp3n-upMyCDC3pQ.127.0.0.1
2019-04-20 11:47:32.601 febs [http-nio-8080-exec-13] INFO  c.e.admin.controller.BaseController - 存入redis值为eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6MiwiZXhwIjoxNTU1NzMyMzUyLCJ1c2VybmFtZSI6ImFkbWluIn0.RTERzjeljrWHZZcnKz0l5qSBSKBMOp3n-upMyCDC3pQ
2019-04-20 11:47:32.603 febs [http-nio-8080-exec-13] INFO  c.e.admin.controller.BaseController - 存入redis键为frame.user.activeeyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6MiwiZXhwIjoxNTU1NzMyMzUyLCJ1c2VybmFtZSI6ImFkbWluIn0.RTERzjeljrWHZZcnKz0l5qSBSKBMOp3n-upMyCDC3pQ.127.0.0.1
2019-04-20 11:47:32.604 febs [http-nio-8080-exec-13] INFO  c.e.admin.controller.BaseController - 存入redis值为{"ip":"127.0.0.1","username":"admin","loginTime":"2019-04-20 11:47:32","token":"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6MiwiZXhwIjoxNTU1NzMyMzUyLCJ1c2VybmFtZSI6ImFkbWluIn0.RTERzjeljrWHZZcnKz0l5qSBSKBMOp3n-upMyCDC3pQ","id":2,"password":"8105a54d05ef3cb2a51edbfc4c2e9104","avatar":"static/avatar/2dd7a2d09fa94bf8b5c52e5318868b4d9.jpg"}
2019-04-20 11:47:32.634 febs [http-nio-8080-exec-14] INFO  c.e.admin.config.filter.JWTFilter - ---------------------------options请求放行---------------------------
2019-04-20 11:47:32.641 febs [http-nio-8080-exec-15] INFO  c.e.admin.config.shiro.ShiroRealm - ---------------- 执行 Shiro 凭证认证 ----------------
2019-04-20 11:47:32.642 febs [http-nio-8080-exec-15] INFO  c.e.admin.config.shiro.ShiroRealm - 获取到的ip为：127.0.0.1
2019-04-20 11:47:32.643 febs [http-nio-8080-exec-15] INFO  c.e.admin.config.shiro.ShiroRealm - 从redis中获取值为：eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6MiwiZXhwIjoxNTU1NzMyMzUyLCJ1c2VybmFtZSI6ImFkbWluIn0.RTERzjeljrWHZZcnKz0l5qSBSKBMOp3n-upMyCDC3pQ
2019-04-20 11:47:32.646 febs [http-nio-8080-exec-15] INFO  c.e.admin.config.shiro.ShiroRealm - 从redis中获取值为：{"ip":"127.0.0.1","username":"admin","loginTime":"2019-04-20 11:47:32","token":"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6MiwiZXhwIjoxNTU1NzMyMzUyLCJ1c2VybmFtZSI6ImFkbWluIn0.RTERzjeljrWHZZcnKz0l5qSBSKBMOp3n-upMyCDC3pQ","id":2,"password":"8105a54d05ef3cb2a51edbfc4c2e9104","avatar":"static/avatar/2dd7a2d09fa94bf8b5c52e5318868b4d9.jpg"}
2019-04-20 11:47:32.648 febs [http-nio-8080-exec-15] INFO  utils.JWTUtil - token is valid
2019-04-20 11:47:32.649 febs [http-nio-8080-exec-15] INFO  c.e.admin.config.shiro.ShiroRealm - ---------------- Shiro 凭证认证成功 ----------------
2019-04-20 11:47:32.655 febs [http-nio-8080-exec-15] INFO  c.e.admin.controller.UserController - 获取的解密后的id为：2
2019-04-20 11:47:32.718 febs [http-nio-8080-exec-15] INFO  c.e.admin.controller.BaseController - 从redis中获取值为：{"ip":"127.0.0.1","username":"admin","loginTime":"2019-04-20 11:47:32","token":"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6MiwiZXhwIjoxNTU1NzMyMzUyLCJ1c2VybmFtZSI6ImFkbWluIn0.RTERzjeljrWHZZcnKz0l5qSBSKBMOp3n-upMyCDC3pQ","id":2,"password":"8105a54d05ef3cb2a51edbfc4c2e9104","avatar":"static/avatar/2dd7a2d09fa94bf8b5c52e5318868b4d9.jpg"}
2019-04-20 11:47:32.890 febs [http-nio-8080-exec-17] INFO  c.e.admin.config.shiro.ShiroRealm - ---------------- 执行 Shiro 凭证认证 ----------------
2019-04-20 11:47:32.891 febs [http-nio-8080-exec-17] INFO  c.e.admin.config.shiro.ShiroRealm - 获取到的ip为：127.0.0.1
2019-04-20 11:47:32.890 febs [http-nio-8080-exec-16] INFO  c.e.admin.config.shiro.ShiroRealm - ---------------- 执行 Shiro 凭证认证 ----------------
2019-04-20 11:47:32.891 febs [http-nio-8080-exec-16] INFO  c.e.admin.config.shiro.ShiroRealm - 获取到的ip为：127.0.0.1
2019-04-20 11:47:32.892 febs [http-nio-8080-exec-16] INFO  c.e.admin.config.shiro.ShiroRealm - 从redis中获取值为：eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6MiwiZXhwIjoxNTU1NzMyMzUyLCJ1c2VybmFtZSI6ImFkbWluIn0.RTERzjeljrWHZZcnKz0l5qSBSKBMOp3n-upMyCDC3pQ
2019-04-20 11:47:32.893 febs [http-nio-8080-exec-17] INFO  c.e.admin.config.shiro.ShiroRealm - 从redis中获取值为：eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6MiwiZXhwIjoxNTU1NzMyMzUyLCJ1c2VybmFtZSI6ImFkbWluIn0.RTERzjeljrWHZZcnKz0l5qSBSKBMOp3n-upMyCDC3pQ
2019-04-20 11:47:32.894 febs [http-nio-8080-exec-16] INFO  c.e.admin.config.shiro.ShiroRealm - 从redis中获取值为：{"ip":"127.0.0.1","username":"admin","loginTime":"2019-04-20 11:47:32","token":"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6MiwiZXhwIjoxNTU1NzMyMzUyLCJ1c2VybmFtZSI6ImFkbWluIn0.RTERzjeljrWHZZcnKz0l5qSBSKBMOp3n-upMyCDC3pQ","id":2,"password":"8105a54d05ef3cb2a51edbfc4c2e9104","avatar":"static/avatar/2dd7a2d09fa94bf8b5c52e5318868b4d9.jpg"}
2019-04-20 11:47:32.894 febs [http-nio-8080-exec-17] INFO  c.e.admin.config.shiro.ShiroRealm - 从redis中获取值为：{"ip":"127.0.0.1","username":"admin","loginTime":"2019-04-20 11:47:32","token":"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6MiwiZXhwIjoxNTU1NzMyMzUyLCJ1c2VybmFtZSI6ImFkbWluIn0.RTERzjeljrWHZZcnKz0l5qSBSKBMOp3n-upMyCDC3pQ","id":2,"password":"8105a54d05ef3cb2a51edbfc4c2e9104","avatar":"static/avatar/2dd7a2d09fa94bf8b5c52e5318868b4d9.jpg"}
2019-04-20 11:47:32.895 febs [http-nio-8080-exec-16] INFO  utils.JWTUtil - token is valid
2019-04-20 11:47:32.895 febs [http-nio-8080-exec-17] INFO  utils.JWTUtil - token is valid
2019-04-20 11:47:32.896 febs [http-nio-8080-exec-16] INFO  c.e.admin.config.shiro.ShiroRealm - ---------------- Shiro 凭证认证成功 ----------------
2019-04-20 11:47:32.896 febs [http-nio-8080-exec-17] INFO  c.e.admin.config.shiro.ShiroRealm - ---------------- Shiro 凭证认证成功 ----------------
2019-04-20 11:47:32.911 febs [http-nio-8080-exec-17] INFO  c.e.admin.controller.UserController - 当前页为：1
2019-04-20 11:47:32.911 febs [http-nio-8080-exec-17] INFO  c.e.admin.controller.UserController - 每页显示记录数：10
2019-04-20 11:47:32.911 febs [http-nio-8080-exec-17] INFO  c.e.admin.controller.UserController - 搜索名为：
2019-04-20 11:48:17.131 febs [http-nio-8080-exec-18] INFO  c.e.admin.config.filter.JWTFilter - ---------------------------options请求放行---------------------------
2019-04-20 11:48:17.140 febs [http-nio-8080-exec-19] INFO  c.e.admin.config.shiro.ShiroRealm - ---------------- 执行 Shiro 凭证认证 ----------------
2019-04-20 11:48:17.141 febs [http-nio-8080-exec-19] INFO  c.e.admin.config.shiro.ShiroRealm - 获取到的ip为：127.0.0.1
2019-04-20 11:48:17.142 febs [http-nio-8080-exec-19] INFO  c.e.admin.config.shiro.ShiroRealm - 从redis中获取值为：eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6MiwiZXhwIjoxNTU1NzMyMzUyLCJ1c2VybmFtZSI6ImFkbWluIn0.RTERzjeljrWHZZcnKz0l5qSBSKBMOp3n-upMyCDC3pQ
2019-04-20 11:48:17.145 febs [http-nio-8080-exec-19] INFO  c.e.admin.config.shiro.ShiroRealm - 从redis中获取值为：{"ip":"127.0.0.1","username":"admin","loginTime":"2019-04-20 11:47:32","token":"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6MiwiZXhwIjoxNTU1NzMyMzUyLCJ1c2VybmFtZSI6ImFkbWluIn0.RTERzjeljrWHZZcnKz0l5qSBSKBMOp3n-upMyCDC3pQ","id":2,"password":"8105a54d05ef3cb2a51edbfc4c2e9104","avatar":"static/avatar/2dd7a2d09fa94bf8b5c52e5318868b4d9.jpg"}
2019-04-20 11:48:17.148 febs [http-nio-8080-exec-19] INFO  utils.JWTUtil - token is valid
2019-04-20 11:48:17.148 febs [http-nio-8080-exec-19] INFO  c.e.admin.config.shiro.ShiroRealm - ---------------- Shiro 凭证认证成功 ----------------
2019-04-20 11:48:17.150 febs [http-nio-8080-exec-19] INFO  c.e.admin.controller.LogController - 当前页为：1
2019-04-20 11:48:17.150 febs [http-nio-8080-exec-19] INFO  c.e.admin.controller.LogController - 每页显示记录数：10
2019-04-20 11:48:17.150 febs [http-nio-8080-exec-19] INFO  c.e.admin.controller.LogController - 搜索名为：
